,text,user
0,وزیر امور خارجه در تماس تلفنی با همتای آلمانی: وقتی رژیم اسرائیل با نقض حقوق بین‌الملل و کنوانسیون‌های وین، مصونیت افراد و اماکن دیپلماتیک را به طور کامل نقض می‌کند، دفاع مشروع با هدف تنبیه متجاوز یک ضرورت است.,PadDolat
1,"رئیس‌جمهور در آئین  بهره‌برداری از طرح‌های آب و فاضلاب شهر تهران: با توجه به منابع آبی محدود کشور تامین آب شرب، آب کشاورزی و آب صنایع  بسیار اهمیت دارد.

در بحث آب کشاورزی، باید با استفاده از آب‌رسانی زیرسطحی و کاملا علمی، بهترین محصول را با کم‌ترین مصرف آب داشته باشیم. https://t.co/w91xNjYrrC",PadDolat
2,"رئیس‌جمهور: اینکه برنامه‌ای تدوین شود که صنایع به جای استفاده از آب شرب از پساب استفاده کنند بسیار‌ اهمیت دارد.

برنامه وزارت نیرو آب‌رسانی ۷۰۰ میلیون متر مکعبی  بود که این عدد به بیش از ۱ میلیارد متر مکعب رسید که نشان از حرکت جهادی در وزارت نیرو است. https://t.co/ZRAuPqZOB5",PadDolat
3,"رئیس‌جمهور در آئین بهره‌برداری از طرح‌های آب و فاضلاب استان تهران: روزی که دولت سیزدهم کار خود را آغاز کرد، تعهد ۲۴۰هزار واحد در زمینه مسکن مهر وجود داشت.

امروز از این تعداد واحد، نیمی از آن‌ها به مردم تحویل داده شده و انجام کامل تعهد در دستور کار قرار دارد. https://t.co/fgyZh8BmKb",PadDolat
4,وزیر صمت: با تلاش دولت در سال ۱۴۰۳ مشکلی برای تأمین ارز نخواهیم داشت. https://t.co/uVt1SKisAp,PadDolat
5,رئیس‌جمهور: فعالان اقتصادی از عددسازی‌ها در بازار نگران نباشند. قطعاً شرایط اقتصادی بهتر خواهد شد. https://t.co/LP4vGni8KF,PadDolat
6,جزئیات حمله تروریستی به ماموران نیروی انتظامی در سیستان و بلوچستان از زبان معاون امنیتی استاندار: گروهک جیش الظلم مسئولیت حمله را برعهده گرفته که مورد تایید ما نیست https://t.co/7Tlo3pGGIU,PadDolat
7,معاون وزیر ارتباطات: سکوهای اینترنتی فروش دارو به مشخصات نسخه بیماران دسترسی نخواهند داشت https://t.co/UVDRd5l1c3,PadDolat
8,"افزایش قیمت گوشت قرمز تکذیب شد

مدیرکل دفتر نظارت بر کالاهای اساسی وزارت جهادکشاورزی: طرح این موضوع که افزایش نرخ دلار بر افزایش هزینه‌های دامداری‌ها تاثیر گذاشته است، صحت نداشته و شایعه است و نهاده‌های دامی با ارز نیمایی ۲۸ هزار و ۵۰۰ تومان تامین و تحویل دامداران کشور می شود. https://t.co/JTqnDI79i3",PadDolat
9,وزیر خارجه: امنیت سوریه را امنیت منطقه می‌دانیم و به تلاش‌های خود برای توقف جنایات جنگی در کرانه باختری، نسل کشی در غزه، ارسال کمک‌های فوری بشردوستانه به غزه و توقف کوچاندن ساکنین کرانه و غزه ادامه می‌دهیم. https://t.co/LIBiq4rsix,PadDolat
