Unnamed: 0,text,user
0,معاون درمان وزارت بهداشت: تعرفه پزشکان عمومی ۱۲۶ هزار و پزشک متخصص ۱۸۹ هزار تومان، پزشکان فوق تخصص و فلوشیپ ۲۴۱ هزار تومان، متخصص روان‌پزشکی ۲۵۱ هزار تومان و فوق تخصص روان‌پزشکی ۲۸۶ هزار تومان تعیین شد.,PadDolat
1,سخنگوی سازمان تعزیرات حکومتی: اگر شرکت‌های تاکسی اینترنتی نگران راننده هستند میزان حق کمیسیون رانندگان که ۱۵ تا ۲۰ درصد است را کاهش دهند زیرا این میزان کمیسیون منصفانه نیست. https://t.co/R3SwPgQj6X,PadDolat
2,سخنگوی وزارت خارجه: ما قبل‌از اقدام نظامی هشدارهای دیپلماتیک را داده بودیم و پس‌از اتمام‌حجت مقتدرانه عمل کردیم https://t.co/e1yAFFd0F6,PadDolat
3,سخنگوی وزارت خارجه: روابط ما با اردن دوستانه است و گفت‌وگوهای خوبی بین ما وجود دارد https://t.co/fzKd2hCVE7,PadDolat
4,سخنگوی وزارت خارجه: مقدمات آغاز مجدد فعالیت سفارت جمهوری آذربایجان در تهران فراهم شده است https://t.co/2ehSZwoEvT,PadDolat
5,سخنگوی وزارت خارجه: تعلق کشتی توقیف‌شده به رژیم صهیونیستی محرز است https://t.co/rNsrn9FQ3N,PadDolat
6,"رئیس‌جمهور: در عملیات علیه رژیم صهیونیستی جلوه‌ای از قدرت موشکی و پهپادی ایران به خوبی به نمایش گذاشته شد. دقت عملیات بسیار بالا بود.

در این عملیات مراکز نظامی هدف قرار گرفتند و این نشان از هماهنگی کامل بین میدان و دیپلماسی است. https://t.co/KMiv8V4PyN",PadDolat
7,وزیر خارجه: حمله جدید رژیم صهیونیستی پاسخ قوی‌تری خواهد داشت.,PadDolat
8,ما به همکاران و وزرای امور خارجه کشورهای تماس گیرنده یادآوری کردیم که ای کاش در شش ماه گذشته چنین توصیه خویشتن‌دارانه‌ای را به حاکمان جنگ طلب و رژیم اسرائیل که مرتکب جنایات جنگی ترکیبی علیه ساکنان غزه و کرانه باختری شده است و یک نسل کشی تاریخ معاصر را رقم زده است ارائه می‌دادید.,PadDolat
9,وزیر امور خارجه: نیروهای مسلح ما حدود ۱۰ روز منتظر اقدامات و تلاش‌های دیپلماتیک ما و همکارانم در عرصه بین‌المللی بودند. در ۷۲ ساعت گذشته تماس‌های مختلف برخی وزرای امور خارجه با این جانب ناظر بر توصیه به ایران برای خویشتن داری و عدم دفاع مشروع و تنبیه رژیم صهیونیستی بود.,PadDolat
10,وزیر امور خارجه: محدود بودن در دفاع مشروع و تنبیه رژیم صهیونیستی به این معنا است که ما هیچ هدف غیرنظامی را در پاسخ خود تعریف نکردیم. نیروهای مسلح ما هیچ مکان اقتصادی و یا جمعیتی را مورد هدف قرار ندادند.,PadDolat
11,"مدیر عملیات شرکت ملی پخش فرآورده‌های نفتی: در حال حاضر زیر یک درصد از خودروها کارت سوخت شخصی در اختیار ندارند.

حدود ۲ میلیون کارت خام در اختیار داریم و کسی که درخواست بدهد سریعا نسبتا به صدور اقدام خواهد شد.

سهمیه‌ها  تغییری نمی‌کند. https://t.co/qyP7yTQxXg",PadDolat
12,"مدیرعامل مرکز مبادله ارز و طلای ایران: در ۹ حراج غیرحضوری ۱۱۰ هزار و ۵۲۴ سکه مورد معامله قرار گرفته است. 

از دوشنبه این هفته حراج سکه را از سر خواهیم گرفت. https://t.co/leUvFtd0Zx",PadDolat
13,وزیر امور خارجه در تماس تلفنی با همتای آلمانی: وقتی رژیم اسرائیل با نقض حقوق بین‌الملل و کنوانسیون‌های وین، مصونیت افراد و اماکن دیپلماتیک را به طور کامل نقض می‌کند، دفاع مشروع با هدف تنبیه متجاوز یک ضرورت است.,PadDolat
14,"رئیس‌جمهور در آئین  بهره‌برداری از طرح‌های آب و فاضلاب شهر تهران: با توجه به منابع آبی محدود کشور تامین آب شرب، آب کشاورزی و آب صنایع  بسیار اهمیت دارد.

در بحث آب کشاورزی، باید با استفاده از آب‌رسانی زیرسطحی و کاملا علمی، بهترین محصول را با کم‌ترین مصرف آب داشته باشیم. https://t.co/w91xNjYrrC",PadDolat
15,"رئیس‌جمهور: اینکه برنامه‌ای تدوین شود که صنایع به جای استفاده از آب شرب از پساب استفاده کنند بسیار‌ اهمیت دارد.

برنامه وزارت نیرو آب‌رسانی ۷۰۰ میلیون متر مکعبی  بود که این عدد به بیش از ۱ میلیارد متر مکعب رسید که نشان از حرکت جهادی در وزارت نیرو است. https://t.co/ZRAuPqZOB5",PadDolat
16,"رئیس‌جمهور در آئین بهره‌برداری از طرح‌های آب و فاضلاب استان تهران: روزی که دولت سیزدهم کار خود را آغاز کرد، تعهد ۲۴۰هزار واحد در زمینه مسکن مهر وجود داشت.

امروز از این تعداد واحد، نیمی از آن‌ها به مردم تحویل داده شده و انجام کامل تعهد در دستور کار قرار دارد. https://t.co/fgyZh8BmKb",PadDolat
17,وزیر صمت: با تلاش دولت در سال ۱۴۰۳ مشکلی برای تأمین ارز نخواهیم داشت. https://t.co/uVt1SKisAp,PadDolat
18,رئیس‌جمهور: فعالان اقتصادی از عددسازی‌ها در بازار نگران نباشند. قطعاً شرایط اقتصادی بهتر خواهد شد. https://t.co/LP4vGni8KF,PadDolat
19,جزئیات حمله تروریستی به ماموران نیروی انتظامی در سیستان و بلوچستان از زبان معاون امنیتی استاندار: گروهک جیش الظلم مسئولیت حمله را برعهده گرفته که مورد تایید ما نیست https://t.co/7Tlo3pGGIU,PadDolat
20,معاون وزیر ارتباطات: سکوهای اینترنتی فروش دارو به مشخصات نسخه بیماران دسترسی نخواهند داشت https://t.co/UVDRd5l1c3,PadDolat
21,"افزایش قیمت گوشت قرمز تکذیب شد

مدیرکل دفتر نظارت بر کالاهای اساسی وزارت جهادکشاورزی: طرح این موضوع که افزایش نرخ دلار بر افزایش هزینه‌های دامداری‌ها تاثیر گذاشته است، صحت نداشته و شایعه است و نهاده‌های دامی با ارز نیمایی ۲۸ هزار و ۵۰۰ تومان تامین و تحویل دامداران کشور می شود. https://t.co/JTqnDI79i3",PadDolat
22,وزیر خارجه: امنیت سوریه را امنیت منطقه می‌دانیم و به تلاش‌های خود برای توقف جنایات جنگی در کرانه باختری، نسل کشی در غزه، ارسال کمک‌های فوری بشردوستانه به غزه و توقف کوچاندن ساکنین کرانه و غزه ادامه می‌دهیم. https://t.co/LIBiq4rsix,PadDolat
23,"وزیر خارجه: بلافاصله پس از جنایت ترویستی دمشق نشست شورای عالی امینت ملی در کشورمان برگزار شد.

میخواهم از دمشق با صدای بلند اعلام کنم که آمریکا در این حادثه مسئولیت دارد و باید پاسخگو باشد. https://t.co/2hGFmzjNm7",PadDolat
24,امیرعبداللهیان: چگونگی پاسخ به رژیم صهیونیستی تعریف شده و موضوع در میدان روشن خواهد شد,PadDolat
25,دولت سیزدهم بدون شک و حتی به اذعان بسیاری از منتقدان در بهبود شاخص‌های اقتصادی کارنامه موفقی داشته است اما به هر حال عبور از اقتصاد بحران زده‌ای که به این دولت میراث رسید؛ علاوه بر آنکه آثار دراز مدتی خواهد داشت، زمان بر هم بوده است.,PadDolat
26,"واکنش وزارت اقتصاد به شایعه برکناری خاندوزی

وزارت اقتصاد: شایعه‌سازی درباره تیم اقتصادی دولت که بی‌وقفه در حال تلاش در میدان جنگ تحمیلی اقتصادی هستند؛ خواسته یا ناخواسته ابزار دیگری علیه دولت و مردم ایران در این کارزار است.",PadDolat
27,رئیس ستاد اربعین: ثبت نام زائران حسینی از ذی الحجه آغاز می شود https://t.co/U77vSfj602,PadDolat
28,رئیس بانک مرکزی: ما در نرخ ارز بازار غیررسمی مداخله می‌کنیم. نرخ بازار غیررسمی زودگذر است و به‌زودی کاهش پیدا می‌کند. https://t.co/RwNyG0rScz,PadDolat
29,رئیس کل بانک مرکزی: در سال گذشته ۲۰ میلیارد دلار ارز ۲۸۵۰۰ به دارو و کالاهای اساسی اختصاص دادیم و در سال جاری نیز این سیاست را ادامه خواهیم داد https://t.co/GFhGUjkLoG,PadDolat
30,سخنگوی وزارت بهداشت: ادعای رئیس دولت دوازدهم مبنی بر خرید و واردات ۶۰ میلیون دوز اسپوتنیک و ۱۶ میلیون و ۸۰۰ هزار دوز از کواکس در آن دولت خلاف واقع است؛واکسن خریداری و وارد شده در دولت قبل ۱۸ میلیون و ۷۵۴ هزار دوز بوده. این میزان در دولت سیزدهم  به ۱۴۳میلیون و ۲۴۵ هزار دوز رسید.,PadDolat
31,سفیر ایران در سوریه: صهیونیست‌ها از ترس پاسخ قطعی ایران شروع به ذخیره‌سازی مواد غذایی و انرژی کرده‌اند؛ فقط آنها از عمق پاسخ ما مطلع هستند https://t.co/2SJo5eVl7B,PadDolat
32,رئیس‌جمهور در نشست رمضانی با فعالان دانشجویی: در دولت‌سیزدهم اعلام اسامی و وضعیت بدهکاران درِگوشی نیست https://t.co/cGBpneDxCA,PadDolat
33,"شایعه کارت سوخت ۲۰ میلیونی

مدیرعامل شرکت ملی پخش فراورده‌های نفتی: اعداد و ارقامی که برای کارت‌های سوخت مطرح می‌شود، واقعیت ندارد.

اصلا منطقی نیست که شخصی بخواهد تا ۲۰ میلیون تومان برای کارت سوخت هزینه کند. https://t.co/AFn2VB2tTy",PadDolat
34,وزیر ارتباطات: با افزایش تعرفه اپراتورها، تعهدی از اپراتورها گرفتیم به این ترتیب که تا خرداد سال ۱۴۰۳، ۳۰ درصد و تا پایان سال، ۵۰ درصد به سرعت اینترنت اضافه شود. https://t.co/ZKc5dbdPVL,PadDolat
35,سخنگوی وزارت بهداشت در واکنش به انتشار اخباری درباره تعرفه جدید پزشکان عمومی: تعرفه‌های اعلام شده قانونی و مورد تأیید نیست. تعرفه‌های رسمی در هفته آتی اعلام می‌شود.,PadDolat
36,"معاون امنیتی انتظامی وزیر کشور: تاکنون ۱۲ تروریست به هلاکت رسیده اند.

همچنین ۵ نفر از حافظان امنیت شهید و ۱۰ نفر زخمی شدند.",PadDolat
37,"معاون امنیتی وزیر کشور: درگیری ها ادامه دارد و نیروهای تروریست در محاصره قرار دارند

به جز در راسک و چابهار حمله تروریستی دیگری نداشتیم. https://t.co/G4VQ3YhDKa",PadDolat
38,معاون استاندار سیستان و بلوچستان: سه نفر از نیروهای حافظ امنیت در درگیری با گروه جیش الظلم به شهادت رسیدند https://t.co/9xfJwb5ixe,PadDolat
39,معاون امنیتی استانداری سیستان و بلوچستان: تروریست‌ها در راسک قصد داشتند وارد مقر سپاه شوند که با تبادل آتش نظامیان ناموفق بودند اما درگیری همچنان ادامه دارد,PadDolat
