,text,user
0,"مرداد ۱۴۰۲، شریعتمداری در #کیهان نوشته بود: خوشبختانه! قرار است پلتفرم‌ها را از افراد فعلی بگیرند و به افراد در خدمت نظام بدهند؛ پس از آن بسیاری نگران تصاحب کسب‌وکارهای پیشتاز دیجیتال شدند. امروز هم که خبر رسید همراه اول مشتری #دیجی_کالا ست.
بیشتر بخوانید:
https://t.co/7BUigawLvr https://t.co/W3DmzPeKm9",khabaronlinee
1,"حناچی می‌گوید کاربری #پارک_قیطریه فضای سبز است و شهرداری حق ساخت مسجد در آنجا را ندارد و حتی اگر مسیر قانونی ساخت مسجد با فشار و لابی هم طی شود، ساخت آن، وظیفه‌ی شهرداری نیست.  @pirouzhanachi معتقد است در تاریخ و فرهنگ ما ساخت مسجد، اساسا مقوله مردمی بوده است.
#زاکانی
@deghtesad https://t.co/JefKS9znIb",khabaronlinee
2,"جهانگیری بر ضرورت پاسخ حساب‌شده، محدود، در چهارچوب #دفاع_مشروع و با هدف اجتناب از گسترش جنگ تاکید کرده و معتقد است حمایت از تقویت #بازدارندگی، یک مساله ملی است؛ بازدارندگی‌ای که صرفا نظامی نیست و سیاسی و اجتماعی و اقتصادی هم هست.
@Eshaq_jahangiri
@jamarannews
#اسرائیل https://t.co/0b4PyHs3yI",khabaronlinee
3,"ریمیکسی از گل یخ، اثر ماندگار #کوروش_یغمایی در صفحه اینستاگرام منچستر سیتی، لیورپول و اینتر و ... بازنشر شده؛ سعید ذهنی، موسیقی‌دان در پاسخ به خبرآنلاین و درباره چرایی این اتفاق، از جذابیت موسیقی اورینتال در غرب گفته، از بکر بودن و تنوع بی‌نظیر موسیقی شرقی
https://t.co/i1xd4GY0fQ https://t.co/3X1LlnlNkb",khabaronlinee
4,"در هفته‌ گذشته که متاثر از احتمال افزایش تنش‌ها، بیش از همیشه نیاز به همراهی افکار عمومی بود، سه پیام معنادار به شهروندان مخابره شد:
۱/ بر صدرنشاندن #پناهیان در جلسه با #رئیسی
۲/ بازگشت #صدیقی به نمازجمعه
۳/ طرح نور #فراجا و آغاز دوباره برخوردهای خیابانی
#گوشت_تلخ
#ازگل
#حجاب https://t.co/wvCzSTBRHq",khabaronlinee
5,با برگزاری #نماز_جمعه دیروز به امامت کاظم #صديقى، دوباره ماجرای باغ #ازگل داغ شد؛ برخی روی خوش نشان ندادند و بعضی هم به قیاس نماز جمعه‌ سال‌های دور با رویداد دیروز پرداختند. سیر تغییرات امامان جمعه دائم و موقت تهران را می‌توان در قیاس ۵ خطیب نخست بعد از انقلاب با ۵ نفر کنونی دید. https://t.co/VxftO9zipI,khabaronlinee
6,"آیا #رد_صلاحیت باعث محبوبیت می‌شود؟!
پاسخ دو نماینده‌ی رد صلاحیت شده‌ی تبریز و چابهار را بشنوید.
#کافه_خبر https://t.co/9NPNCa7stt",khabaronlinee
7,"جلال رشیدی کوچی نماینده #رد_صلاحیت شده‌ مجلس مدعی شده که در هیچ دولتی پس از جنگ، تروریست‌ها اینگونه بی‌محابا دست به #ترور نزده‌اند. او به دولت #رئیسی و وزیر کشورش توصیه کرده بعد از دستیابی به اهدافشان در انتخابات اخیر مجلس، تمرکزشان را بر مهار تروریست‌ها بگذارند.
@j_rashidikoochi https://t.co/iB54bWjqcs",khabaronlinee
8,عباس امیری‌فر در دوران #احمدی_نژاد، امام جماعت مسجد و رئیس شورای فرهنگی نهاد ریاست جمهوری بود اما بعدها از بهاری‌ها فاصله گرفت. او در #کافه_خبر از سرخوردگی رئیس سابق گفته، اینکه احمدی‌نژاد ذلت را پذیرفته و ناچار برای آنکه اوپوزیسیون تمام‌قد نشود تحت ریاست آملی لاریجانی قرار گرفته https://t.co/CpuUDGBnx4,khabaronlinee
9,خبرگزاری @ilnanews از دادستان کل کشور نقل کرده است که آزادی موجود در ایران در هیچ کجای دنیا دیده نمی‌شود! دادستان معتقد است حتی کسانی که پا را از نقد مسئولان هم فراتر گذاشته‌اند و مرتکب اقدامی با وصف مجرمانه شده‌اند هم مورد تعرض واقع نمی‌شوند. https://t.co/hUS8OPtteo,khabaronlinee
10,واعظی در #کافه_خبر از آن مجریان #صداوسیما می‌گوید که در دولت قبل، به #روحانی و کابینه‌اش تندی و تکه‌پرانی و فحاشی می‌کردند و آنتن بیشتری می‌گرفتند! https://t.co/GxHSV7MFXl,khabaronlinee
11,"۷/ متن کامل یادداشت را در خبرآنلاین بخوانید:
https://t.co/UqXN6Kacbz",khabaronlinee
12,"۶/ خدایا ما چه گناهی مرتکب شده‌ایم که از مطهری اهل گفت‌وگو و طالقانی مدافع آزادی و بهشتی باادب و پرنسیب، گرفتار #پناهیان و رسایی و نبویان شده‌ایم؟ این چه تقدیری است ای پروردگار؟

#گوشت_تلخ",khabaronlinee
13,۵/پخش چنین حرف‌هایی جدای از توهین نسبت به اعتقادات میلیون‌ها مسلمان ممکن است عده‌ای ساده‌لوح را به این خطا بیندازد که چنین قرائت‌های خطرناکی از اسلام را که شباهت‌های انکارناپذیری با باورهای گروهک‌های تروریستی دارد بپذیرند و هم برای خودشان و هم برای مردم این دیار دردسرها درست کنند,khabaronlinee
14,۴/ این حرف‌ها وقتی از یک رسانه رسمی پخش می‌شود ماجرا کمی متفاوت می‌شود. نه اینکه تلویزیون مخاطب انبوه داشته باشد، نه، از این حیث جای نگرانی نیست بلکه در بین مخاطبان اندک تلویزیون هنوز هم هستند کسانی که پخش این حرف‌ها را از #صداوسیما به معنای سیاست‌های رسمی نظام می‌دانند.,khabaronlinee
